prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,130,76,0.5846,0.5846,0.9767,1.0,5.8482,8.67,0.0,0.0565,0.325,0.0152
The city had changed since the last time she visited.,0.8,1,88,46,0.5227,0.5227,0.977,1.0,5.1378,3.03,0.0,0.123,0.325,0.0092
The city had changed since the last time she visited.,0.8,2,156,70,0.4487,0.4487,0.8516,0.961,5.5176,22.29,0.0,0.0281,0.675,0.014
The city had changed since the last time she visited.,0.8,3,157,71,0.4522,0.4522,0.8141,0.9935,5.4083,12.08,0.0,0.038,0.45,0.0142
The city had changed since the last time she visited.,0.8,4,161,61,0.3789,0.3789,0.7688,0.9623,4.9302,17.89,0.0,0.0316,0.7,0.0122
The city had changed since the last time she visited.,1.0,0,175,72,0.4114,0.4114,0.8506,0.9942,5.2812,29.17,0.0,0.0215,0.575,0.0144
The city had changed since the last time she visited.,1.0,1,135,79,0.5852,0.5852,0.8731,0.9774,5.7779,11.25,0.0,0.0542,0.2875,0.0158
The city had changed since the last time she visited.,1.0,2,152,85,0.5592,0.5592,0.9536,1.0,5.8335,10.86,0.0,0.0333,0.325,0.017
The city had changed since the last time she visited.,1.0,3,145,85,0.5862,0.5862,0.9236,0.979,5.8116,9.06,0.0,0.0389,0.575,0.017
The city had changed since the last time she visited.,1.0,4,135,81,0.6,0.6,0.9478,1.0,5.7121,33.75,0.0,0.029,0.4125,0.0162
"After the rain stopped, the streets were quiet and still.",0.8,0,145,84,0.5793,0.5793,0.9236,1.0,5.7541,12.08,0.0,0.0354,0.35,0.0168
"After the rain stopped, the streets were quiet and still.",0.8,1,136,78,0.5735,0.5735,0.8741,0.9776,5.67,9.07,0.0,0.0395,0.35,0.0156
"After the rain stopped, the streets were quiet and still.",0.8,2,172,90,0.5233,0.5233,0.9006,0.9824,6.058,9.05,0.0,0.0446,0.4125,0.018
"After the rain stopped, the streets were quiet and still.",0.8,3,99,62,0.6263,0.6263,0.9796,1.0,5.5496,3.0,0.0,0.1125,0.425,0.0124
"After the rain stopped, the streets were quiet and still.",0.8,4,139,73,0.5252,0.5252,0.9058,0.9854,5.2378,15.44,0.0,0.0279,0.35,0.0146
"After the rain stopped, the streets were quiet and still.",1.0,0,115,78,0.6783,0.6783,0.9825,1.0,5.8609,12.78,0.0,0.0422,0.225,0.0156
"After the rain stopped, the streets were quiet and still.",1.0,1,150,97,0.6467,0.6467,0.9329,1.0,6.2154,10.0,0.0,0.0447,0.35,0.0194
"After the rain stopped, the streets were quiet and still.",1.0,2,170,90,0.5294,0.5294,0.9349,1.0,6.0399,21.25,0.0,0.0327,0.2875,0.018
"After the rain stopped, the streets were quiet and still.",1.0,3,106,72,0.6792,0.6792,0.9714,1.0,5.7298,6.62,0.0,0.0458,0.2875,0.0144
"After the rain stopped, the streets were quiet and still.",1.0,4,148,78,0.527,0.527,0.9456,0.9932,5.7583,11.38,0.0,0.0467,0.3875,0.0156
He opened the book to a random page and began to read.,0.8,0,174,80,0.4598,0.4598,0.8324,0.9767,5.7159,15.82,0.0,0.0312,0.35,0.016
He opened the book to a random page and began to read.,0.8,1,164,82,0.5,0.5,0.8896,0.9877,5.9029,10.25,0.0,0.0452,0.45,0.0164
He opened the book to a random page and began to read.,0.8,2,166,84,0.506,0.506,0.8909,0.9817,5.8641,11.86,0.0,0.0364,0.2875,0.0168
He opened the book to a random page and began to read.,0.8,3,161,74,0.4596,0.4596,0.8375,0.9623,5.5027,12.38,0.0,0.0432,0.475,0.0148
