prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,162,60,0.3704,0.3704,0.7516,0.9688,4.7743,27.0,0.0,0.0299,0.7,0.012
The city had changed since the last time she visited.,0.8,1,154,64,0.4156,0.4156,0.817,0.9605,5.2363,14.0,0.0,0.0372,0.7,0.0128
The city had changed since the last time she visited.,0.8,2,171,55,0.3216,0.3216,0.7588,0.9704,4.6777,21.38,0.0,0.027,0.8,0.011
The city had changed since the last time she visited.,0.8,3,172,59,0.343,0.343,0.7778,0.9765,4.8397,21.5,0.0,0.0268,0.7,0.0118
The city had changed since the last time she visited.,0.8,4,165,47,0.2848,0.2848,0.6951,0.9571,4.4975,20.62,0.0,0.0413,0.6375,0.0094
The city had changed since the last time she visited.,1.0,0,169,70,0.4142,0.4142,0.8631,0.994,5.2199,33.8,0.0,0.017,0.675,0.014
The city had changed since the last time she visited.,1.0,1,145,77,0.531,0.531,0.9028,1.0,5.5376,24.17,0.0,0.0314,0.575,0.0154
The city had changed since the last time she visited.,1.0,2,123,72,0.5854,0.5854,0.9672,1.0,5.613,15.38,0.0,0.0376,0.325,0.0144
The city had changed since the last time she visited.,1.0,3,131,73,0.5573,0.5573,0.9077,1.0,5.6638,10.08,0.0,0.0479,0.2875,0.0146
The city had changed since the last time she visited.,1.0,4,160,85,0.5312,0.5312,0.9119,1.0,5.7378,14.55,0.0,0.0218,0.35,0.017
"After the rain stopped, the streets were quiet and still.",0.8,0,134,81,0.6045,0.6045,0.9248,1.0,5.5241,14.89,0.0,0.0313,0.4125,0.0162
"After the rain stopped, the streets were quiet and still.",0.8,1,150,84,0.56,0.56,0.8993,1.0,5.5797,15.0,0.0,0.0391,0.4125,0.0168
"After the rain stopped, the streets were quiet and still.",0.8,2,127,70,0.5512,0.5512,0.881,0.992,5.4814,5.52,0.0,0.0545,0.35,0.014
"After the rain stopped, the streets were quiet and still.",0.8,3,147,62,0.4218,0.4218,0.7329,0.9241,4.8868,9.8,0.0,0.0384,0.6,0.0124
"After the rain stopped, the streets were quiet and still.",0.8,4,170,70,0.4118,0.4118,0.858,0.9583,5.5801,21.25,0.0,0.0411,0.35,0.014
"After the rain stopped, the streets were quiet and still.",1.0,0,157,84,0.535,0.535,0.9231,1.0,6.0143,11.21,0.0,0.0479,0.3875,0.0168
"After the rain stopped, the streets were quiet and still.",1.0,1,163,91,0.5583,0.5583,0.9012,0.9876,6.0109,13.58,0.0,0.0315,0.45,0.0182
"After the rain stopped, the streets were quiet and still.",1.0,2,159,84,0.5283,0.5283,0.943,1.0,5.9056,15.9,0.0,0.0325,0.225,0.0168
"After the rain stopped, the streets were quiet and still.",1.0,3,134,89,0.6642,0.6642,0.9549,0.9924,6.0194,10.31,0.0,0.0375,0.225,0.0178
"After the rain stopped, the streets were quiet and still.",1.0,4,144,80,0.5556,0.5556,0.9301,1.0,5.6093,13.09,0.0,0.0367,0.2875,0.016
He opened the book to a random page and began to read.,0.8,0,125,81,0.648,0.648,0.9597,0.9919,5.8491,10.42,0.0,0.0467,0.3875,0.0162
He opened the book to a random page and began to read.,0.8,1,167,80,0.479,0.479,0.8675,0.9939,5.6856,12.85,0.0,0.0258,0.35,0.016
He opened the book to a random page and began to read.,0.8,2,91,61,0.6703,0.6703,0.9111,0.9775,5.4879,11.38,0.0,0.0503,0.2875,0.0122
He opened the book to a random page and began to read.,0.8,3,95,63,0.6632,0.6632,0.9468,1.0,5.5489,7.31,0.0,0.063,0.2875,0.0126
He opened the book to a random page and began to read.,0.8,4,159,74,0.4654,0.4654,0.8418,0.9745,5.5413,17.67,0.0,0.0382,0.5125,0.0148
He opened the book to a random page and began to read.,1.0,0,104,81,0.7788,0.7788,0.9709,1.0,6.1008,13.0,0.0,0.049,0.2875,0.0162
He opened the book to a random page and began to read.,1.0,1,116,77,0.6638,0.6638,0.9304,0.9912,5.8686,9.67,0.0,0.046,0.2875,0.0154
He opened the book to a random page and began to read.,1.0,2,157,79,0.5032,0.5032,0.9167,1.0,5.8217,14.27,0.0,0.033,0.3875,0.0158
He opened the book to a random page and began to read.,1.0,3,118,84,0.7119,0.7119,1.0,1.0,6.0776,10.73,0.0,0.0399,0.2625,0.0168
He opened the book to a random page and began to read.,1.0,4,65,55,0.8462,0.8462,1.0,1.0,5.6415,5.91,0.0,0.0636,0.1625,0.011
The envoy arrived at dawn with gifts from the northern court,0.8,0,103,67,0.6505,0.6505,0.9902,1.0,5.5862,6.44,0.0,0.068,0.225,0.0134
The envoy arrived at dawn with gifts from the northern court,0.8,1,116,64,0.5517,0.5517,0.9043,1.0,5.2722,8.29,0.0,0.0432,0.475,0.0128
The envoy arrived at dawn with gifts from the northern court,0.8,2,90,63,0.7,0.7,0.9775,1.0,5.3951,6.0,0.0,0.069,0.325,0.0126
The envoy arrived at dawn with gifts from the northern court,0.8,3,96,61,0.6354,0.6354,0.9368,1.0,5.3935,8.73,0.0,0.0549,0.35,0.0122
The envoy arrived at dawn with gifts from the northern court,0.8,4,103,56,0.5437,0.5437,0.8922,1.0,4.976,10.3,0.0,0.0523,0.4125,0.0112
The envoy arrived at dawn with gifts from the northern court,1.0,0,90,67,0.7444,0.7444,0.9775,1.0,5.7493,9.0,0.0,0.0789,0.225,0.0134
The envoy arrived at dawn with gifts from the northern court,1.0,1,109,65,0.5963,0.5963,0.963,1.0,5.4259,12.11,0.0,0.0481,0.2875,0.013
The envoy arrived at dawn with gifts from the northern court,1.0,2,114,72,0.6316,0.6316,0.9469,1.0,5.4844,12.67,0.0,0.0471,0.35,0.0144
The envoy arrived at dawn with gifts from the northern court,1.0,3,112,70,0.625,0.625,0.964,1.0,5.5553,16.0,0.0,0.0388,0.35,0.014
