prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,136,79,0.5809,0.5809,0.8963,0.9776,5.7056,13.6,0.0,0.0366,0.45,0.0158
The city had changed since the last time she visited.,0.8,1,158,81,0.5127,0.5127,0.9045,0.9936,5.6059,17.56,0.0,0.0314,0.2875,0.0162
The city had changed since the last time she visited.,0.8,2,159,77,0.4843,0.4843,0.9114,0.9936,5.658,7.23,0.0,0.0571,0.2875,0.0154
The city had changed since the last time she visited.,0.8,3,145,73,0.5034,0.5034,0.875,1.0,5.6926,11.15,0.0,0.0276,0.3875,0.0146
The city had changed since the last time she visited.,0.8,4,164,72,0.439,0.439,0.8405,0.9815,5.251,13.67,0.0,0.0386,0.7,0.0144
The city had changed since the last time she visited.,1.0,0,153,79,0.5163,0.5163,0.9474,1.0,5.7026,10.2,0.0,0.0419,0.3875,0.0158
The city had changed since the last time she visited.,1.0,1,150,74,0.4933,0.4933,0.8523,0.9865,5.3064,12.5,0.0,0.0347,0.7,0.0148
The city had changed since the last time she visited.,1.0,2,159,79,0.4969,0.4969,0.8924,0.9873,5.6091,10.6,0.0,0.0382,0.45,0.0158
The city had changed since the last time she visited.,1.0,3,145,79,0.5448,0.5448,0.9236,0.993,5.8443,10.36,0.0,0.0439,0.3875,0.0158
The city had changed since the last time she visited.,1.0,4,146,85,0.5822,0.5822,0.9241,1.0,5.8303,20.86,0.0,0.0217,0.2875,0.017
"After the rain stopped, the streets were quiet and still.",0.8,0,143,81,0.5664,0.5664,0.9366,1.0,5.5962,9.53,0.0,0.039,0.2875,0.0162
"After the rain stopped, the streets were quiet and still.",0.8,1,153,82,0.5359,0.5359,0.8618,0.9934,5.489,9.0,0.0,0.0347,0.475,0.0164
"After the rain stopped, the streets were quiet and still.",0.8,2,134,78,0.5821,0.5821,0.9398,1.0,5.7893,7.44,0.0,0.0583,0.225,0.0156
"After the rain stopped, the streets were quiet and still.",0.8,3,169,76,0.4497,0.4497,0.8571,0.9641,5.6305,15.36,0.0,0.0546,0.7,0.0152
"After the rain stopped, the streets were quiet and still.",0.8,4,156,74,0.4744,0.4744,0.8452,0.974,5.4565,17.33,0.0,0.0364,0.4125,0.0148
"After the rain stopped, the streets were quiet and still.",1.0,0,162,93,0.5741,0.5741,0.9441,1.0,6.0069,9.53,0.0,0.0458,0.225,0.0186
"After the rain stopped, the streets were quiet and still.",1.0,1,133,84,0.6316,0.6316,0.9394,0.9924,5.9318,9.5,0.0,0.0431,0.2875,0.0168
"After the rain stopped, the streets were quiet and still.",1.0,2,159,87,0.5472,0.5472,0.8987,0.9809,5.8558,12.23,0.0,0.0301,0.5375,0.0174
"After the rain stopped, the streets were quiet and still.",1.0,3,152,92,0.6053,0.6053,0.9603,1.0,6.013,13.82,0.0,0.0269,0.2875,0.0184
"After the rain stopped, the streets were quiet and still.",1.0,4,143,89,0.6224,0.6224,0.9366,1.0,6.0254,11.0,0.0,0.0427,0.4125,0.0178
He opened the book to a random page and began to read.,0.8,0,149,85,0.5705,0.5705,0.8986,1.0,5.8335,11.46,0.0,0.0404,0.45,0.017
He opened the book to a random page and began to read.,0.8,1,158,79,0.5,0.5,0.8535,0.9551,5.5805,12.15,0.0,0.0309,0.5375,0.0158
He opened the book to a random page and began to read.,0.8,2,131,86,0.6565,0.6565,0.9385,0.9845,5.8537,8.73,0.0,0.0422,0.225,0.0172
He opened the book to a random page and began to read.,0.8,3,159,79,0.4969,0.4969,0.8797,1.0,5.5358,14.45,0.0,0.0319,0.4125,0.0158
He opened the book to a random page and began to read.,0.8,4,142,82,0.5775,0.5775,0.922,0.9857,5.8858,10.14,0.0,0.0416,0.35,0.0164
He opened the book to a random page and began to read.,1.0,0,136,93,0.6838,0.6838,0.9852,1.0,6.1668,9.07,0.0,0.0401,0.225,0.0186
He opened the book to a random page and began to read.,1.0,1,91,66,0.7253,0.7253,1.0,1.0,5.8415,8.27,0.0,0.0784,0.2625,0.0132
He opened the book to a random page and began to read.,1.0,2,102,82,0.8039,0.8039,1.0,1.0,6.1526,6.38,0.0,0.0498,0.1625,0.0164
He opened the book to a random page and began to read.,1.0,3,151,80,0.5298,0.5298,0.9133,1.0,5.616,10.07,0.0,0.0477,0.2875,0.016
He opened the book to a random page and began to read.,1.0,4,137,87,0.635,0.635,0.9485,0.9926,6.0451,9.79,0.0,0.0623,0.2875,0.0174
The envoy arrived at dawn with gifts from the northern court,0.8,0,114,72,0.6316,0.6316,0.9558,1.0,5.2777,14.25,0.0,0.0322,0.225,0.0144
The envoy arrived at dawn with gifts from the northern court,0.8,1,117,67,0.5726,0.5726,0.8879,0.9913,5.0473,11.7,0.0,0.0503,0.6375,0.0134
The envoy arrived at dawn with gifts from the northern court,0.8,2,113,63,0.5575,0.5575,0.8929,0.991,5.0836,18.83,0.0,0.0342,0.475,0.0126
The envoy arrived at dawn with gifts from the northern court,0.8,3,106,69,0.6509,0.6509,0.9524,1.0,5.5381,11.78,0.0,0.0473,0.2875,0.0138
The envoy arrived at dawn with gifts from the northern court,0.8,4,123,75,0.6098,0.6098,0.9344,0.9917,5.6184,15.38,0.0,0.0325,0.2875,0.015
The envoy arrived at dawn with gifts from the northern court,1.0,0,116,82,0.7069,0.7069,0.9739,1.0,5.8239,11.6,0.0,0.033,0.225,0.0164
The envoy arrived at dawn with gifts from the northern court,1.0,1,129,80,0.6202,0.6202,0.9297,1.0,5.7187,9.92,0.0,0.0361,0.35,0.016
The envoy arrived at dawn with gifts from the northern court,1.0,2,107,77,0.7196,0.7196,0.9811,1.0,5.9572,7.13,0.0,0.0494,0.225,0.0154
The envoy arrived at dawn with gifts from the northern court,1.0,3,140,90,0.6429,0.6429,0.9496,1.0,6.0073,11.67,0.0,0.0376,0.2875,0.018
The envoy arrived at dawn with gifts from the northern court,1.0,4,128,85,0.6641,0.6641,0.9606,1.0,5.9502,14.22,0.0,0.036,0.225,0.017
The minister bowed and said the neighboring state was weak.,0.8,0,156,87,0.5577,0.5577,0.8968,0.987,5.8448,12.0,0.0,0.036,0.2875,0.0174
The minister bowed and said the neighboring state was weak.,0.8,1,123,71,0.5772,0.5772,0.9098,1.0,5.2365,15.38,0.0,0.0385,0.35,0.0142
The minister bowed and said the neighboring state was weak.,0.8,2,140,63,0.45,0.45,0.8058,0.9855,4.8028,12.73,0.0,0.0414,0.6,0.0126
The minister bowed and said the neighboring state was weak.,0.8,3,124,71,0.5726,0.5726,0.878,1.0,5.3271,7.75,0.0,0.0324,0.45,0.0142
The minister bowed and said the neighboring state was weak.,0.8,4,146,78,0.5342,0.5342,0.9103,1.0,5.433,16.22,0.0,0.0493,0.35,0.0156
The minister bowed and said the neighboring state was weak.,1.0,0,118,78,0.661,0.661,0.9487,1.0,5.7218,7.38,0.0,0.0411,0.35,0.0156
The minister bowed and said the neighboring state was weak.,1.0,1,130,76,0.5846,0.5846,0.9535,0.9922,5.7223,10.83,0.0,0.0638,0.2875,0.0152
The minister bowed and said the neighboring state was weak.,1.0,2,156,92,0.5897,0.5897,0.9355,0.9935,6.0373,11.14,0.0,0.0268,0.225,0.0184
The minister bowed and said the neighboring state was weak.,1.0,3,112,63,0.5625,0.5625,0.8559,0.9818,5.1992,8.62,0.0,0.0423,0.475,0.0126
The minister bowed and said the neighboring state was weak.,1.0,4,142,82,0.5775,0.5775,0.9149,1.0,5.6684,10.14,0.0,0.0415,0.35,0.0164
"In the third year of famine, the granaries stood nearly empt",0.8,0,146,66,0.4521,0.4521,0.7862,0.9722,5.0466,7.68,0.0,0.0446,0.6,0.0132
"In the third year of famine, the granaries stood nearly empt",0.8,1,133,84,0.6316,0.6316,0.8939,0.9924,5.7547,14.78,0.0,0.0273,0.6,0.0168
"In the third year of famine, the granaries stood nearly empt",0.8,2,128,68,0.5312,0.5312,0.8661,0.9762,5.1447,9.14,0.0,0.0464,0.35,0.0136
"In the third year of famine, the granaries stood nearly empt",0.8,3,124,64,0.5161,0.5161,0.9024,1.0,5.1301,12.4,0.0,0.0395,0.6,0.0128
"In the third year of famine, the granaries stood nearly empt",0.8,4,151,86,0.5695,0.5695,0.9133,0.9933,5.8656,30.2,0.0,0.0412,0.2875,0.0172
"In the third year of famine, the granaries stood nearly empt",1.0,0,118,78,0.661,0.661,0.9829,1.0,5.7722,9.83,0.0,0.0338,0.225,0.0156
"In the third year of famine, the granaries stood nearly empt",1.0,1,110,74,0.6727,0.6727,0.9633,1.0,5.858,4.78,0.0,0.0623,0.2875,0.0148
"In the third year of famine, the granaries stood nearly empt",1.0,2,158,88,0.557,0.557,0.879,0.9808,5.9001,9.88,0.0,0.0435,0.475,0.0176
"In the third year of famine, the granaries stood nearly empt",1.0,3,143,79,0.5524,0.5524,0.8662,1.0,5.6877,11.92,0.0,0.0331,0.4125,0.0158
"In the third year of famine, the granaries stood nearly empt",1.0,4,111,75,0.6757,0.6757,0.9727,1.0,5.7351,8.54,0.0,0.0423,0.35,0.015
The emperor summoned his advisors to discuss the border thre,0.8,0,119,64,0.5378,0.5378,0.8898,0.9915,5.4032,10.82,0.0,0.0449,0.2875,0.0128
The emperor summoned his advisors to discuss the border thre,0.8,1,104,65,0.625,0.625,0.9223,1.0,5.4521,13.0,0.0,0.043,0.225,0.013
The emperor summoned his advisors to discuss the border thre,0.8,2,92,61,0.663,0.663,0.978,1.0,5.4408,4.6,0.0,0.061,0.225,0.0122
The emperor summoned his advisors to discuss the border thre,0.8,3,107,65,0.6075,0.6075,0.934,1.0,5.1503,6.29,0.0,0.0414,0.35,0.013
The emperor summoned his advisors to discuss the border thre,0.8,4,134,79,0.5896,0.5896,0.9098,0.9924,5.6975,8.38,0.0,0.0465,0.2875,0.0158
The emperor summoned his advisors to discuss the border thre,1.0,0,130,74,0.5692,0.5692,0.907,1.0,5.5795,8.67,0.0,0.044,0.3875,0.0148
The emperor summoned his advisors to discuss the border thre,1.0,1,121,72,0.595,0.595,0.9417,1.0,5.5186,9.31,0.0,0.037,0.2875,0.0144
The emperor summoned his advisors to discuss the border thre,1.0,2,104,73,0.7019,0.7019,0.9903,1.0,5.8119,7.43,0.0,0.048,0.225,0.0146
The emperor summoned his advisors to discuss the border thre,1.0,3,121,79,0.6529,0.6529,0.9583,1.0,5.7699,15.12,0.0,0.0485,0.325,0.0158
The emperor summoned his advisors to discuss the border thre,1.0,4,104,72,0.6923,0.6923,1.0,1.0,5.6826,11.56,0.0,0.0316,0.1625,0.0144
The ruler asked whether it was better to submit or resist.,0.8,0,73,59,0.8082,0.8082,1.0,1.0,5.693,5.62,0.0,0.0948,0.1625,0.0118
The ruler asked whether it was better to submit or resist.,0.8,1,159,79,0.4969,0.4969,0.8987,0.9745,5.7427,10.6,0.0,0.0459,0.5375,0.0158
The ruler asked whether it was better to submit or resist.,0.8,2,130,82,0.6308,0.6308,0.9225,0.9922,5.7411,8.67,0.0,0.0451,0.475,0.0164
The ruler asked whether it was better to submit or resist.,0.8,3,168,85,0.506,0.506,0.8802,0.9699,5.9264,12.0,0.0,0.0296,0.35,0.017
The ruler asked whether it was better to submit or resist.,0.8,4,177,78,0.4407,0.4407,0.8125,0.9429,5.7625,16.09,0.0,0.0244,0.6375,0.0156
The ruler asked whether it was better to submit or resist.,1.0,0,171,95,0.5556,0.5556,0.8941,0.9763,6.0964,13.15,0.0,0.0273,0.45,0.019
The ruler asked whether it was better to submit or resist.,1.0,1,133,86,0.6466,0.6466,0.9697,1.0,6.0021,12.09,0.0,0.0275,0.225,0.0172
The ruler asked whether it was better to submit or resist.,1.0,2,162,76,0.4691,0.4691,0.8571,0.9812,5.6309,12.46,0.0,0.041,0.5125,0.0152
The ruler asked whether it was better to submit or resist.,1.0,3,169,91,0.5385,0.5385,0.9048,0.988,6.0592,12.07,0.0,0.0382,0.45,0.0182
The ruler asked whether it was better to submit or resist.,1.0,4,116,83,0.7155,0.7155,0.9565,1.0,6.0794,6.11,0.0,0.0499,0.225,0.0166
The general surveyed the battlefield and considered his opti,0.8,0,77,52,0.6753,0.6753,0.9868,1.0,5.2976,9.62,0.0,0.0947,0.225,0.0104
The general surveyed the battlefield and considered his opti,0.8,1,110,74,0.6727,0.6727,0.9725,0.9907,5.8321,6.47,0.0,0.0684,0.225,0.0148
The general surveyed the battlefield and considered his opti,0.8,2,165,82,0.497,0.497,0.8902,0.9877,5.6198,13.75,0.0,0.0276,0.45,0.0164
The general surveyed the battlefield and considered his opti,0.8,3,94,59,0.6277,0.6277,0.9462,1.0,5.2928,7.23,0.0,0.0501,0.2875,0.0118
The general surveyed the battlefield and considered his opti,0.8,4,144,84,0.5833,0.5833,0.9021,0.9789,5.731,13.09,0.0,0.0288,0.35,0.0168
The general surveyed the battlefield and considered his opti,1.0,0,166,95,0.5723,0.5723,0.903,0.9817,6.0483,16.6,0.0,0.0263,0.475,0.019
The general surveyed the battlefield and considered his opti,1.0,1,101,68,0.6733,0.6733,0.99,1.0,5.8423,5.05,0.0,0.0766,0.225,0.0136
The general surveyed the battlefield and considered his opti,1.0,2,126,79,0.627,0.627,0.944,0.9839,5.7435,18.0,0.0,0.0294,0.2875,0.0158
The general surveyed the battlefield and considered his opti,1.0,3,169,98,0.5799,0.5799,0.9286,0.982,6.1976,12.07,0.0,0.0362,0.35,0.0196
The general surveyed the battlefield and considered his opti,1.0,4,161,78,0.4845,0.4845,0.825,0.9874,5.3638,16.1,0.0,0.0218,0.6,0.0156
"When the alliance collapsed, each kingdom looked to its own ",0.8,0,165,89,0.5394,0.5394,0.8902,0.9693,5.8522,16.5,0.0,0.0264,0.2875,0.0178
"When the alliance collapsed, each kingdom looked to its own ",0.8,1,139,74,0.5324,0.5324,0.8623,0.9781,5.2398,9.93,0.0,0.0395,0.35,0.0148
