prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,145,75,0.5172,0.5172,0.875,0.979,5.3429,20.71,0.0,0.0279,0.7,0.015
The city had changed since the last time she visited.,0.8,1,161,72,0.4472,0.4472,0.8438,0.9811,5.383,16.1,0.0,0.0301,0.55,0.0144
The city had changed since the last time she visited.,0.8,2,178,88,0.4944,0.4944,0.8701,0.983,5.93,29.67,0.0,0.0208,0.3875,0.0176
The city had changed since the last time she visited.,0.8,3,138,65,0.471,0.471,0.8102,0.9412,5.2466,15.33,0.0,0.0388,0.6,0.013
The city had changed since the last time she visited.,0.8,4,134,63,0.4701,0.4701,0.8647,0.9924,5.2322,8.38,0.0,0.0534,0.35,0.0126
The city had changed since the last time she visited.,1.0,0,170,85,0.5,0.5,0.9349,0.994,5.8466,14.17,0.0,0.0331,0.3875,0.017
The city had changed since the last time she visited.,1.0,1,161,88,0.5466,0.5466,0.9375,0.9874,5.9165,11.5,0.0,0.0354,0.2875,0.0176
The city had changed since the last time she visited.,1.0,2,134,77,0.5746,0.5746,0.9023,0.9924,5.6588,8.93,0.0,0.0392,0.4125,0.0154
The city had changed since the last time she visited.,1.0,3,163,85,0.5215,0.5215,0.9259,1.0,5.8261,20.38,0.0,0.0271,0.5125,0.017
The city had changed since the last time she visited.,1.0,4,118,76,0.6441,0.6441,0.9487,1.0,5.7151,7.38,0.0,0.0521,0.2875,0.0152
"After the rain stopped, the streets were quiet and still.",0.8,0,164,67,0.4085,0.4085,0.7423,0.9691,5.0949,16.4,0.0,0.0323,0.6,0.0134
"After the rain stopped, the streets were quiet and still.",0.8,1,167,75,0.4491,0.4491,0.7952,0.9515,5.4637,13.92,0.0,0.0435,0.475,0.015
"After the rain stopped, the streets were quiet and still.",0.8,2,131,72,0.5496,0.5496,0.9231,1.0,5.7084,7.28,0.0,0.0585,0.2875,0.0144
"After the rain stopped, the streets were quiet and still.",0.8,3,165,75,0.4545,0.4545,0.8537,0.9755,5.399,11.0,0.0,0.0363,0.475,0.015
"After the rain stopped, the streets were quiet and still.",0.8,4,156,74,0.4744,0.4744,0.8258,0.961,5.3399,9.75,0.0,0.0347,0.475,0.0148
"After the rain stopped, the streets were quiet and still.",1.0,0,169,93,0.5503,0.5503,0.9464,1.0,6.0631,13.0,0.0,0.0337,0.2875,0.0186
"After the rain stopped, the streets were quiet and still.",1.0,1,141,78,0.5532,0.5532,0.95,1.0,5.7364,10.07,0.0,0.0354,0.2875,0.0156
"After the rain stopped, the streets were quiet and still.",1.0,2,171,91,0.5322,0.5322,0.9294,1.0,6.0249,12.21,0.0,0.0392,0.3875,0.0182
"After the rain stopped, the streets were quiet and still.",1.0,3,139,85,0.6115,0.6115,0.942,1.0,5.9052,11.58,0.0,0.0431,0.3875,0.017
"After the rain stopped, the streets were quiet and still.",1.0,4,154,80,0.5195,0.5195,0.8758,0.9868,5.5938,10.27,0.0,0.0367,0.4125,0.016
He opened the book to a random page and began to read.,0.8,0,146,87,0.5959,0.5959,0.931,0.9792,6.0783,9.12,0.0,0.0556,0.2875,0.0174
He opened the book to a random page and began to read.,0.8,1,174,73,0.4195,0.4195,0.8324,0.9826,5.505,15.82,0.0,0.0422,0.575,0.0146
He opened the book to a random page and began to read.,0.8,2,89,43,0.4831,0.4831,0.9091,1.0,4.7104,3.87,0.0,0.1214,0.3875,0.0086
He opened the book to a random page and began to read.,0.8,3,49,45,0.9184,0.9184,1.0,1.0,5.4206,8.17,0.0,0.0521,0.1625,0.009
He opened the book to a random page and began to read.,0.8,4,21,14,0.6667,0.6667,1.0,1.0,3.5538,4.2,0.0,0.7292,0.1625,0.0028
He opened the book to a random page and began to read.,1.0,0,106,70,0.6604,0.6604,0.981,1.0,5.8506,6.62,0.0,0.0732,0.225,0.014
He opened the book to a random page and began to read.,1.0,1,165,92,0.5576,0.5576,0.9146,0.9877,5.9967,13.75,0.0,0.0301,0.35,0.0184
He opened the book to a random page and began to read.,1.0,2,166,80,0.4819,0.4819,0.8848,0.9939,5.6864,9.76,0.0,0.0437,0.35,0.016
He opened the book to a random page and began to read.,1.0,3,171,82,0.4795,0.4795,0.9118,0.9822,5.8243,13.15,0.0,0.0391,0.2875,0.0164
He opened the book to a random page and began to read.,1.0,4,167,83,0.497,0.497,0.9157,0.9939,5.8661,15.18,0.0,0.0503,0.35,0.0166
The envoy arrived at dawn with gifts from the northern court,0.8,0,98,61,0.6224,0.6224,0.9381,1.0,5.2345,12.25,0.0,0.0434,0.225,0.0122
The envoy arrived at dawn with gifts from the northern court,0.8,1,132,70,0.5303,0.5303,0.855,1.0,5.2474,7.76,0.0,0.0478,0.4125,0.014
The envoy arrived at dawn with gifts from the northern court,0.8,2,50,41,0.82,0.82,1.0,1.0,5.1586,8.33,0.0,0.0625,0.1625,0.0082
The envoy arrived at dawn with gifts from the northern court,0.8,3,76,60,0.7895,0.7895,0.9867,1.0,5.5304,5.43,0.0,0.066,0.225,0.012
The envoy arrived at dawn with gifts from the northern court,0.8,4,146,85,0.5822,0.5822,0.9034,1.0,5.7953,9.73,0.0,0.0356,0.35,0.017
The envoy arrived at dawn with gifts from the northern court,1.0,0,89,64,0.7191,0.7191,0.9773,1.0,5.6298,11.12,0.0,0.0416,0.2875,0.0128
The envoy arrived at dawn with gifts from the northern court,1.0,1,80,60,0.75,0.75,1.0,1.0,5.6235,6.15,0.0,0.0736,0.1625,0.012
The envoy arrived at dawn with gifts from the northern court,1.0,2,107,76,0.7103,0.7103,1.0,1.0,5.9233,7.64,0.0,0.0692,0.1625,0.0152
The envoy arrived at dawn with gifts from the northern court,1.0,3,135,83,0.6148,0.6148,0.9403,0.9925,5.9097,12.27,0.0,0.0375,0.35,0.0166
The envoy arrived at dawn with gifts from the northern court,1.0,4,124,83,0.6694,0.6694,0.9756,1.0,5.9108,9.54,0.0,0.0427,0.225,0.0166
The minister bowed and said the neighboring state was weak.,0.8,0,146,73,0.5,0.5,0.869,1.0,5.4696,12.17,0.0,0.0459,0.35,0.0146
The minister bowed and said the neighboring state was weak.,0.8,1,165,80,0.4848,0.4848,0.8171,0.9877,5.2443,18.33,0.0,0.0193,0.6,0.016
The minister bowed and said the neighboring state was weak.,0.8,2,164,78,0.4756,0.4756,0.8282,0.9506,5.5961,11.71,0.0,0.0378,0.475,0.0156
