prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,156,77,0.4936,0.4936,0.8452,0.9935,5.5467,13.0,0.0,0.0353,0.6,0.0154
The city had changed since the last time she visited.,0.8,1,142,76,0.5352,0.5352,0.9149,0.9857,5.5091,10.14,0.0,0.0368,0.35,0.0152
The city had changed since the last time she visited.,0.8,2,165,81,0.4909,0.4909,0.8537,0.9571,5.841,16.5,0.0,0.0285,0.2875,0.0162
The city had changed since the last time she visited.,0.8,3,124,72,0.5806,0.5806,0.9593,0.9918,5.6431,8.86,0.0,0.0446,0.2875,0.0144
The city had changed since the last time she visited.,0.8,4,174,76,0.4368,0.4368,0.8035,0.936,5.6257,14.5,0.0,0.0297,0.475,0.0152
The city had changed since the last time she visited.,1.0,0,143,85,0.5944,0.5944,0.9155,0.9929,5.8311,17.88,0.0,0.033,0.3875,0.017
The city had changed since the last time she visited.,1.0,1,113,79,0.6991,0.6991,0.9911,1.0,5.906,12.56,0.0,0.0369,0.225,0.0158
The city had changed since the last time she visited.,1.0,2,139,93,0.6691,0.6691,0.971,1.0,6.1911,9.93,0.0,0.044,0.225,0.0186
The city had changed since the last time she visited.,1.0,3,108,68,0.6296,0.6296,0.9813,1.0,5.7557,9.82,0.0,0.0569,0.325,0.0136
The city had changed since the last time she visited.,1.0,4,87,58,0.6667,0.6667,0.9884,1.0,5.5953,12.43,0.0,0.0601,0.225,0.0116
"After the rain stopped, the streets were quiet and still.",0.8,0,151,75,0.4967,0.4967,0.8467,0.9597,5.4385,13.73,0.0,0.0386,0.35,0.015
"After the rain stopped, the streets were quiet and still.",0.8,1,171,79,0.462,0.462,0.8118,0.9467,5.4168,14.25,0.0,0.0284,0.7,0.0158
"After the rain stopped, the streets were quiet and still.",0.8,2,93,66,0.7097,0.7097,0.9783,1.0,5.649,7.75,0.0,0.0579,0.225,0.0132
"After the rain stopped, the streets were quiet and still.",0.8,3,89,48,0.5393,0.5393,0.875,0.9655,4.9286,8.9,0.0,0.0833,0.675,0.0096
