prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,78,57,0.7308,0.7308,0.974,1.0,5.5879,7.8,0.0,0.0605,0.325,0.0114
The city had changed since the last time she visited.,0.8,1,165,78,0.4727,0.4727,0.8659,0.9939,5.6807,15.0,0.0,0.0341,0.4125,0.0156
The city had changed since the last time she visited.,0.8,2,164,73,0.4451,0.4451,0.8528,0.9815,5.5351,16.4,0.0,0.0354,0.4125,0.0146
The city had changed since the last time she visited.,0.8,3,90,57,0.6333,0.6333,0.9663,1.0,5.437,3.6,0.0,0.0956,0.3875,0.0114
The city had changed since the last time she visited.,0.8,4,71,53,0.7465,0.7465,1.0,1.0,5.5263,6.45,0.0,0.0606,0.2625,0.0106
The city had changed since the last time she visited.,1.0,0,72,58,0.8056,0.8056,1.0,1.0,5.7099,5.54,0.0,0.0726,0.1625,0.0116
The city had changed since the last time she visited.,1.0,1,171,95,0.5556,0.5556,0.9353,1.0,6.086,14.25,0.0,0.0275,0.3875,0.019
The city had changed since the last time she visited.,1.0,2,150,93,0.62,0.62,0.9597,1.0,6.0501,18.75,0.0,0.0374,0.2875,0.0186
The city had changed since the last time she visited.,1.0,3,163,81,0.4969,0.4969,0.9136,1.0,5.6082,18.11,0.0,0.0292,0.3875,0.0162
The city had changed since the last time she visited.,1.0,4,124,74,0.5968,0.5968,0.9268,0.9836,5.6954,8.86,0.0,0.0513,0.4125,0.0148
"After the rain stopped, the streets were quiet and still.",0.8,0,164,81,0.4939,0.4939,0.8589,0.9568,5.7698,13.67,0.0,0.0383,0.475,0.0162
"After the rain stopped, the streets were quiet and still.",0.8,1,168,84,0.5,0.5,0.8743,0.9819,5.8513,12.0,0.0,0.0395,0.45,0.0168
"After the rain stopped, the streets were quiet and still.",0.8,2,163,80,0.4908,0.4908,0.8642,0.9752,5.6754,13.58,0.0,0.034,0.4125,0.016
"After the rain stopped, the streets were quiet and still.",0.8,3,147,78,0.5306,0.5306,0.8973,0.9931,5.6017,13.36,0.0,0.0417,0.2875,0.0156
