prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,152,63,0.4145,0.4145,0.7815,0.9733,5.0561,12.67,0.0,0.0353,0.575,0.0126
The city had changed since the last time she visited.,0.8,1,126,64,0.5079,0.5079,0.848,1.0,5.1532,21.0,0.0,0.0488,0.575,0.0128
The city had changed since the last time she visited.,0.8,2,139,68,0.4892,0.4892,0.8333,0.9854,5.2438,17.38,0.0,0.0542,0.7,0.0136
The city had changed since the last time she visited.,0.8,3,172,89,0.5174,0.5174,0.9064,0.9941,6.0698,15.64,0.0,0.0319,0.35,0.0178
The city had changed since the last time she visited.,0.8,4,93,52,0.5591,0.5591,0.9457,1.0,5.2001,4.65,0.0,0.0764,0.2875,0.0104
The city had changed since the last time she visited.,1.0,0,138,83,0.6014,0.6014,0.9343,0.9926,5.776,17.25,0.0,0.0355,0.45,0.0166
The city had changed since the last time she visited.,1.0,1,150,83,0.5533,0.5533,0.9463,1.0,5.888,16.67,0.0,0.0335,0.325,0.0166
The city had changed since the last time she visited.,1.0,2,138,82,0.5942,0.5942,0.9781,1.0,5.7192,19.71,0.0,0.0295,0.225,0.0164
The city had changed since the last time she visited.,1.0,3,172,89,0.5174,0.5174,0.9357,1.0,5.9779,28.67,0.0,0.0365,0.2875,0.0178
The city had changed since the last time she visited.,1.0,4,164,86,0.5244,0.5244,0.9018,0.9877,5.8723,14.91,0.0,0.0362,0.2875,0.0172
"After the rain stopped, the streets were quiet and still.",0.8,0,173,77,0.4451,0.4451,0.8198,0.9766,5.4386,19.22,0.0,0.0179,0.475,0.0154
"After the rain stopped, the streets were quiet and still.",0.8,1,144,73,0.5069,0.5069,0.8531,0.993,5.0998,12.0,0.0,0.0337,0.475,0.0146
"After the rain stopped, the streets were quiet and still.",0.8,2,126,69,0.5476,0.5476,0.904,1.0,5.1937,21.0,0.0,0.0461,0.35,0.0138
"After the rain stopped, the streets were quiet and still.",0.8,3,165,58,0.3515,0.3515,0.689,0.9387,4.6305,13.75,0.0,0.0263,0.6,0.0116
"After the rain stopped, the streets were quiet and still.",0.8,4,154,70,0.4545,0.4545,0.7712,0.9474,4.8388,9.62,0.0,0.03,0.6,0.014
"After the rain stopped, the streets were quiet and still.",1.0,0,122,70,0.5738,0.5738,0.9091,0.9917,5.35,11.09,0.0,0.0433,0.35,0.014
"After the rain stopped, the streets were quiet and still.",1.0,1,112,71,0.6339,0.6339,0.9369,1.0,5.6245,9.33,0.0,0.0394,0.2875,0.0142
"After the rain stopped, the streets were quiet and still.",1.0,2,147,76,0.517,0.517,0.8562,0.9655,5.4261,14.7,0.0,0.0251,0.4125,0.0152
"After the rain stopped, the streets were quiet and still.",1.0,3,154,91,0.5909,0.5909,0.9216,1.0,6.0929,9.62,0.0,0.0465,0.35,0.0182
"After the rain stopped, the streets were quiet and still.",1.0,4,143,82,0.5734,0.5734,0.8944,0.9929,5.6889,13.0,0.0,0.041,0.35,0.0164
He opened the book to a random page and began to read.,0.8,0,136,80,0.5882,0.5882,0.9407,1.0,5.6465,9.07,0.0,0.034,0.4125,0.016
He opened the book to a random page and began to read.,0.8,1,122,61,0.5,0.5,0.8595,1.0,4.9897,20.33,0.0,0.0649,0.675,0.0122
He opened the book to a random page and began to read.,0.8,2,157,76,0.4841,0.4841,0.8333,0.9613,5.6619,12.08,0.0,0.0573,0.35,0.0152
He opened the book to a random page and began to read.,0.8,3,159,84,0.5283,0.5283,0.8734,0.9682,5.7021,13.25,0.0,0.0378,0.5375,0.0168
He opened the book to a random page and began to read.,0.8,4,173,86,0.4971,0.4971,0.9012,0.9766,5.8993,24.71,0.0,0.0328,0.3875,0.0172
He opened the book to a random page and began to read.,1.0,0,99,73,0.7374,0.7374,0.9898,1.0,5.8498,6.6,0.0,0.0588,0.225,0.0146
He opened the book to a random page and began to read.,1.0,1,107,73,0.6822,0.6822,0.9623,1.0,5.7735,11.89,0.0,0.0666,0.2875,0.0146
He opened the book to a random page and began to read.,1.0,2,155,92,0.5935,0.5935,0.9351,0.9935,6.0146,15.5,0.0,0.0362,0.45,0.0184
He opened the book to a random page and began to read.,1.0,3,124,78,0.629,0.629,0.9675,1.0,5.6785,13.78,0.0,0.0369,0.2875,0.0156
He opened the book to a random page and began to read.,1.0,4,70,56,0.8,0.8,0.9855,1.0,5.6098,5.83,0.0,0.0879,0.325,0.0112
The envoy arrived at dawn with gifts from the northern court,0.8,0,132,77,0.5833,0.5833,0.8855,1.0,5.3845,10.15,0.0,0.0345,0.475,0.0154
The envoy arrived at dawn with gifts from the northern court,0.8,1,101,65,0.6436,0.6436,0.93,1.0,5.3764,10.1,0.0,0.0713,0.2875,0.013
The envoy arrived at dawn with gifts from the northern court,0.8,2,138,64,0.4638,0.4638,0.8029,0.9779,4.9014,10.62,0.0,0.0293,0.7,0.0128
The envoy arrived at dawn with gifts from the northern court,0.8,3,147,82,0.5578,0.5578,0.911,1.0,5.6736,12.25,0.0,0.0288,0.2875,0.0164
The envoy arrived at dawn with gifts from the northern court,0.8,4,110,72,0.6545,0.6545,0.9725,1.0,5.6055,18.33,0.0,0.0525,0.2875,0.0144
The envoy arrived at dawn with gifts from the northern court,1.0,0,96,70,0.7292,0.7292,0.9789,1.0,5.7056,10.67,0.0,0.0614,0.225,0.014
The envoy arrived at dawn with gifts from the northern court,1.0,1,153,92,0.6013,0.6013,0.9211,1.0,6.0681,12.75,0.0,0.0317,0.35,0.0184
The envoy arrived at dawn with gifts from the northern court,1.0,2,146,78,0.5342,0.5342,0.9172,0.9931,5.6125,12.17,0.0,0.0365,0.45,0.0156
The envoy arrived at dawn with gifts from the northern court,1.0,3,95,61,0.6421,0.6421,0.9681,1.0,5.4138,7.31,0.0,0.0551,0.2875,0.0122
The envoy arrived at dawn with gifts from the northern court,1.0,4,99,76,0.7677,0.7677,0.9898,1.0,5.963,6.6,0.0,0.0628,0.225,0.0152
The minister bowed and said the neighboring state was weak.,0.8,0,109,63,0.578,0.578,0.9444,0.9907,5.3034,7.27,0.0,0.0557,0.5125,0.0126
The minister bowed and said the neighboring state was weak.,0.8,1,139,69,0.4964,0.4964,0.8623,0.9927,5.2953,19.86,0.0,0.0386,0.4125,0.0138
The minister bowed and said the neighboring state was weak.,0.8,2,132,66,0.5,0.5,0.855,0.9769,5.2557,16.5,0.0,0.0541,0.475,0.0132
The minister bowed and said the neighboring state was weak.,0.8,3,140,79,0.5643,0.5643,0.8921,0.9928,5.6045,23.33,0.0,0.0337,0.5125,0.0158
The minister bowed and said the neighboring state was weak.,0.8,4,100,60,0.6,0.6,0.9798,1.0,5.5023,3.12,0.0,0.0998,0.325,0.012
The minister bowed and said the neighboring state was weak.,1.0,0,117,76,0.6496,0.6496,0.9569,1.0,5.7333,13.0,0.0,0.0451,0.225,0.0152
The minister bowed and said the neighboring state was weak.,1.0,1,147,82,0.5578,0.5578,0.8699,0.9586,5.5997,18.38,0.0,0.0277,0.6,0.0164
The minister bowed and said the neighboring state was weak.,1.0,2,123,73,0.5935,0.5935,0.9344,1.0,5.5829,10.25,0.0,0.0393,0.2875,0.0146
The minister bowed and said the neighboring state was weak.,1.0,3,161,95,0.5901,0.5901,0.9187,1.0,6.0183,13.42,0.0,0.029,0.475,0.019
The minister bowed and said the neighboring state was weak.,1.0,4,156,95,0.609,0.609,0.9226,0.987,5.9737,13.0,0.0,0.0242,0.35,0.019
"In the third year of famine, the granaries stood nearly empt",0.8,0,141,64,0.4539,0.4539,0.8071,0.9784,5.0065,12.82,0.0,0.0329,0.475,0.0128
"In the third year of famine, the granaries stood nearly empt",0.8,1,110,61,0.5545,0.5545,0.8807,0.9907,5.1302,15.71,0.0,0.0336,0.7,0.0122
"In the third year of famine, the granaries stood nearly empt",0.8,2,113,63,0.5575,0.5575,0.9196,1.0,5.1995,10.27,0.0,0.0408,0.2875,0.0126
"In the third year of famine, the granaries stood nearly empt",0.8,3,120,73,0.6083,0.6083,0.958,1.0,5.411,12.0,0.0,0.0458,0.225,0.0146
"In the third year of famine, the granaries stood nearly empt",0.8,4,103,69,0.6699,0.6699,0.9608,1.0,5.5706,10.3,0.0,0.0611,0.2875,0.0138
"In the third year of famine, the granaries stood nearly empt",1.0,0,148,87,0.5878,0.5878,0.932,1.0,6.0423,21.14,0.0,0.0223,0.2875,0.0174
"In the third year of famine, the granaries stood nearly empt",1.0,1,151,90,0.596,0.596,0.94,1.0,5.8738,11.62,0.0,0.0267,0.2875,0.018
