prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,104,74,0.7115,0.7115,0.9903,1.0,5.8759,9.45,0.0,0.0674,0.325,0.0148
The city had changed since the last time she visited.,0.8,1,99,69,0.697,0.697,0.9592,1.0,5.6356,4.95,0.0,0.0742,0.2875,0.0138
The city had changed since the last time she visited.,0.8,2,161,71,0.441,0.441,0.8313,0.9748,5.2812,13.42,0.0,0.0278,0.6125,0.0142
The city had changed since the last time she visited.,0.8,3,162,76,0.4691,0.4691,0.8634,0.9938,5.547,18.0,0.0,0.0329,0.45,0.0152
The city had changed since the last time she visited.,0.8,4,98,58,0.5918,0.5918,0.9485,1.0,5.4209,4.26,0.0,0.086,0.2875,0.0116
The city had changed since the last time she visited.,1.0,0,150,76,0.5067,0.5067,0.9597,0.9932,5.5177,21.43,0.0,0.0266,0.325,0.0152
The city had changed since the last time she visited.,1.0,1,161,93,0.5776,0.5776,0.95,1.0,6.0749,10.06,0.0,0.0423,0.35,0.0186
The city had changed since the last time she visited.,1.0,2,144,84,0.5833,0.5833,0.965,1.0,5.8891,14.4,0.0,0.0306,0.225,0.0168
The city had changed since the last time she visited.,1.0,3,132,84,0.6364,0.6364,0.9542,1.0,5.8994,13.2,0.0,0.0397,0.225,0.0168
The city had changed since the last time she visited.,1.0,4,117,79,0.6752,0.6752,0.9569,1.0,5.8612,7.31,0.0,0.0505,0.35,0.0158
"After the rain stopped, the streets were quiet and still.",0.8,0,148,66,0.4459,0.4459,0.7755,0.9589,5.1305,7.05,0.0,0.0388,0.575,0.0132
"After the rain stopped, the streets were quiet and still.",0.8,1,158,75,0.4747,0.4747,0.8344,0.9872,5.2816,15.8,0.0,0.0311,0.6,0.015
"After the rain stopped, the streets were quiet and still.",0.8,2,104,65,0.625,0.625,0.9806,1.0,5.4805,5.47,0.0,0.0738,0.2875,0.013
"After the rain stopped, the streets were quiet and still.",0.8,3,141,75,0.5319,0.5319,0.85,1.0,5.1692,14.1,0.0,0.033,0.5375,0.015
"After the rain stopped, the streets were quiet and still.",0.8,4,150,74,0.4933,0.4933,0.8121,0.9797,5.1742,12.5,0.0,0.0267,0.475,0.0148
"After the rain stopped, the streets were quiet and still.",1.0,0,145,86,0.5931,0.5931,0.9236,0.993,5.9626,14.5,0.0,0.0295,0.35,0.0172
"After the rain stopped, the streets were quiet and still.",1.0,1,158,91,0.5759,0.5759,0.9236,0.9936,5.8567,17.56,0.0,0.0267,0.35,0.0182
"After the rain stopped, the streets were quiet and still.",1.0,2,156,91,0.5833,0.5833,0.9548,0.9935,5.9175,15.6,0.0,0.0312,0.35,0.0182
"After the rain stopped, the streets were quiet and still.",1.0,3,152,83,0.5461,0.5461,0.894,0.9733,5.8778,15.2,0.0,0.0453,0.575,0.0166
"After the rain stopped, the streets were quiet and still.",1.0,4,161,95,0.5901,0.5901,0.9313,0.9937,6.0735,16.1,0.0,0.0334,0.2875,0.019
He opened the book to a random page and began to read.,0.8,0,161,78,0.4845,0.4845,0.8187,0.9245,5.7222,14.64,0.0,0.0308,0.5375,0.0156
He opened the book to a random page and began to read.,0.8,1,172,83,0.4826,0.4826,0.8596,0.9647,5.9286,15.64,0.0,0.0366,0.35,0.0166
He opened the book to a random page and began to read.,0.8,2,136,74,0.5441,0.5441,0.8963,0.9851,5.7891,9.07,0.0,0.0673,0.2875,0.0148
He opened the book to a random page and began to read.,0.8,3,159,87,0.5472,0.5472,0.9304,1.0,5.9178,11.36,0.0,0.0318,0.2875,0.0174
He opened the book to a random page and began to read.,0.8,4,134,74,0.5522,0.5522,0.9173,1.0,5.5435,19.14,0.0,0.0428,0.2875,0.0148
He opened the book to a random page and began to read.,1.0,0,141,88,0.6241,0.6241,0.9714,1.0,6.0984,15.67,0.0,0.0397,0.225,0.0176
He opened the book to a random page and began to read.,1.0,1,162,91,0.5617,0.5617,0.9441,1.0,6.0115,9.0,0.0,0.036,0.45,0.0182
He opened the book to a random page and began to read.,1.0,2,153,92,0.6013,0.6013,0.9211,1.0,5.9423,13.91,0.0,0.0348,0.35,0.0184
He opened the book to a random page and began to read.,1.0,3,101,65,0.6436,0.6436,0.95,1.0,5.6021,7.77,0.0,0.0528,0.3875,0.013
He opened the book to a random page and began to read.,1.0,4,110,73,0.6636,0.6636,0.9633,1.0,5.5655,10.0,0.0,0.059,0.325,0.0146
The envoy arrived at dawn with gifts from the northern court,0.8,0,150,72,0.48,0.48,0.8255,0.9662,5.359,21.43,0.0,0.0302,0.5375,0.0144
The envoy arrived at dawn with gifts from the northern court,0.8,1,159,83,0.522,0.522,0.8671,0.9809,5.9562,10.6,0.0,0.0477,0.45,0.0166
The envoy arrived at dawn with gifts from the northern court,0.8,2,84,60,0.7143,0.7143,0.9518,1.0,5.3977,6.46,0.0,0.0791,0.4125,0.012
The envoy arrived at dawn with gifts from the northern court,0.8,3,159,83,0.522,0.522,0.9114,1.0,5.8085,19.88,0.0,0.0344,0.35,0.0166
The envoy arrived at dawn with gifts from the northern court,0.8,4,85,49,0.5765,0.5765,0.9881,1.0,5.1375,3.54,0.0,0.1301,0.325,0.0098
The envoy arrived at dawn with gifts from the northern court,1.0,0,88,67,0.7614,0.7614,0.954,1.0,5.671,12.57,0.0,0.0647,0.35,0.0134
The envoy arrived at dawn with gifts from the northern court,1.0,1,152,90,0.5921,0.5921,0.947,1.0,5.9131,12.67,0.0,0.0248,0.35,0.018
The envoy arrived at dawn with gifts from the northern court,1.0,2,107,68,0.6355,0.6355,0.934,1.0,5.675,8.23,0.0,0.0378,0.2875,0.0136
The envoy arrived at dawn with gifts from the northern court,1.0,3,86,68,0.7907,0.7907,1.0,1.0,5.9161,10.75,0.0,0.0687,0.1625,0.0136
The envoy arrived at dawn with gifts from the northern court,1.0,4,124,77,0.621,0.621,0.9431,0.9918,5.7068,6.89,0.0,0.0468,0.3875,0.0154
The minister bowed and said the neighboring state was weak.,0.8,0,167,84,0.503,0.503,0.8916,0.9636,5.8668,15.18,0.0,0.028,0.2875,0.0168
The minister bowed and said the neighboring state was weak.,0.8,1,155,77,0.4968,0.4968,0.8636,0.9673,5.4988,17.22,0.0,0.0317,0.475,0.0154
The minister bowed and said the neighboring state was weak.,0.8,2,106,76,0.717,0.717,0.9619,1.0,5.9125,6.62,0.0,0.0507,0.2875,0.0152
