prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,148,70,0.473,0.473,0.8571,0.9863,5.3037,11.38,0.0,0.0387,0.6375,0.014
The city had changed since the last time she visited.,0.8,1,136,72,0.5294,0.5294,0.8889,0.9776,5.3475,9.07,0.0,0.0381,0.575,0.0144
The city had changed since the last time she visited.,0.8,2,129,68,0.5271,0.5271,0.9141,0.9921,5.3342,8.06,0.0,0.055,0.2875,0.0136
The city had changed since the last time she visited.,0.8,3,73,54,0.7397,0.7397,1.0,1.0,5.503,2.28,0.0,0.1327,0.2625,0.0108
The city had changed since the last time she visited.,0.8,4,165,67,0.4061,0.4061,0.7805,0.9571,5.2111,12.69,0.0,0.0359,0.7,0.0134
The city had changed since the last time she visited.,1.0,0,26,24,0.9231,0.9231,1.0,1.0,4.5466,4.33,0.0,0.0198,0.1625,0.0048
The city had changed since the last time she visited.,1.0,1,153,81,0.5294,0.5294,0.9145,1.0,5.8546,10.93,0.0,0.0365,0.3875,0.0162
The city had changed since the last time she visited.,1.0,2,151,88,0.5828,0.5828,0.92,0.9933,5.9619,8.39,0.0,0.0434,0.5125,0.0176
The city had changed since the last time she visited.,1.0,3,176,79,0.4489,0.4489,0.8514,0.9885,5.6143,17.6,0.0,0.0271,0.4125,0.0158
The city had changed since the last time she visited.,1.0,4,102,69,0.6765,0.6765,0.9505,1.0,5.8117,6.38,0.0,0.0437,0.2875,0.0138
"After the rain stopped, the streets were quiet and still.",0.8,0,162,80,0.4938,0.4938,0.882,0.9938,5.8119,16.2,0.0,0.0369,0.2875,0.016
"After the rain stopped, the streets were quiet and still.",0.8,1,159,91,0.5723,0.5723,0.9177,1.0,5.8097,11.36,0.0,0.025,0.35,0.0182
"After the rain stopped, the streets were quiet and still.",0.8,2,168,89,0.5298,0.5298,0.8683,0.9819,5.7747,33.6,0.0,0.0316,0.45,0.0178
"After the rain stopped, the streets were quiet and still.",0.8,3,171,78,0.4561,0.4561,0.8294,0.9645,5.5875,14.25,0.0,0.0435,0.475,0.0156
"After the rain stopped, the streets were quiet and still.",0.8,4,108,70,0.6481,0.6481,0.9533,1.0,5.8358,4.15,0.0,0.0798,0.2875,0.014
