prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,171,67,0.3918,0.3918,0.7824,0.9704,5.1161,19.0,0.0,0.0226,0.575,0.0134
The city had changed since the last time she visited.,0.8,1,150,71,0.4733,0.4733,0.8725,0.9865,5.1479,11.54,0.0,0.0354,0.7,0.0142
The city had changed since the last time she visited.,0.8,2,162,69,0.4259,0.4259,0.8137,0.9688,5.3057,11.57,0.0,0.0324,0.7,0.0138
The city had changed since the last time she visited.,0.8,3,124,70,0.5645,0.5645,0.935,1.0,5.5176,12.4,0.0,0.0432,0.2875,0.014
The city had changed since the last time she visited.,0.8,4,175,75,0.4286,0.4286,0.8218,0.9538,5.3465,15.91,0.0,0.0226,0.5375,0.015
The city had changed since the last time she visited.,1.0,0,106,76,0.717,0.717,1.0,1.0,6.0337,10.6,0.0,0.0681,0.1625,0.0152
The city had changed since the last time she visited.,1.0,1,162,81,0.5,0.5,0.9441,1.0,5.6888,16.2,0.0,0.0246,0.3875,0.0162
The city had changed since the last time she visited.,1.0,2,154,79,0.513,0.513,0.9412,1.0,5.7073,11.85,0.0,0.0382,0.6375,0.0158
The city had changed since the last time she visited.,1.0,3,150,83,0.5533,0.5533,0.9396,0.9932,5.8884,13.64,0.0,0.0394,0.2875,0.0166
The city had changed since the last time she visited.,1.0,4,157,75,0.4777,0.4777,0.9038,1.0,5.7183,11.21,0.0,0.034,0.325,0.015
"After the rain stopped, the streets were quiet and still.",0.8,0,174,75,0.431,0.431,0.8035,0.9477,5.6336,15.82,0.0,0.0376,0.475,0.015
"After the rain stopped, the streets were quiet and still.",0.8,1,176,82,0.4659,0.4659,0.8629,0.977,5.7677,12.57,0.0,0.0336,0.4125,0.0164
"After the rain stopped, the streets were quiet and still.",0.8,2,168,81,0.4821,0.4821,0.8084,0.9639,5.6055,12.92,0.0,0.0332,0.5375,0.0162
"After the rain stopped, the streets were quiet and still.",0.8,3,88,55,0.625,0.625,0.977,1.0,5.4943,3.83,0.0,0.1017,0.325,0.011
"After the rain stopped, the streets were quiet and still.",0.8,4,175,79,0.4514,0.4514,0.7989,0.948,5.6564,17.5,0.0,0.0325,0.6375,0.0158
"After the rain stopped, the streets were quiet and still.",1.0,0,165,88,0.5333,0.5333,0.8841,0.9816,5.9683,15.0,0.0,0.0422,0.45,0.0176
"After the rain stopped, the streets were quiet and still.",1.0,1,160,90,0.5625,0.5625,0.9245,1.0,6.0224,22.86,0.0,0.0308,0.3875,0.018
"After the rain stopped, the streets were quiet and still.",1.0,2,140,88,0.6286,0.6286,0.9496,0.9855,5.998,15.56,0.0,0.0432,0.35,0.0176
"After the rain stopped, the streets were quiet and still.",1.0,3,148,79,0.5338,0.5338,0.8912,0.9795,5.746,13.45,0.0,0.027,0.4125,0.0158
"After the rain stopped, the streets were quiet and still.",1.0,4,150,93,0.62,0.62,0.9128,0.9932,5.9093,9.38,0.0,0.0361,0.4125,0.0186
He opened the book to a random page and began to read.,0.8,0,177,80,0.452,0.452,0.892,0.9829,5.7384,13.62,0.0,0.0458,0.575,0.016
He opened the book to a random page and began to read.,0.8,1,164,80,0.4878,0.4878,0.8834,0.9938,5.7962,18.22,0.0,0.0393,0.35,0.016
He opened the book to a random page and began to read.,0.8,2,146,83,0.5685,0.5685,0.8759,1.0,5.826,16.22,0.0,0.033,0.5375,0.0166
He opened the book to a random page and began to read.,0.8,3,158,81,0.5127,0.5127,0.8917,0.9808,5.8543,17.56,0.0,0.0367,0.2875,0.0162
He opened the book to a random page and began to read.,0.8,4,155,93,0.6,0.6,0.9286,0.9869,6.0585,14.09,0.0,0.046,0.2875,0.0186
He opened the book to a random page and began to read.,1.0,0,165,89,0.5394,0.5394,0.878,0.9816,5.9852,20.62,0.0,0.026,0.35,0.0178
He opened the book to a random page and began to read.,1.0,1,175,89,0.5086,0.5086,0.931,1.0,5.9255,12.5,0.0,0.0289,0.2875,0.0178
He opened the book to a random page and began to read.,1.0,2,93,71,0.7634,0.7634,0.9891,1.0,5.8565,7.15,0.0,0.0492,0.225,0.0142
He opened the book to a random page and began to read.,1.0,3,79,60,0.7595,0.7595,1.0,1.0,5.6882,7.9,0.0,0.1176,0.2625,0.012
He opened the book to a random page and began to read.,1.0,4,177,90,0.5085,0.5085,0.9318,0.9943,5.9578,22.12,0.0,0.0278,0.325,0.018
The envoy arrived at dawn with gifts from the northern court,0.8,0,112,68,0.6071,0.6071,0.9279,1.0,5.4998,10.18,0.0,0.0472,0.35,0.0136
The envoy arrived at dawn with gifts from the northern court,0.8,1,84,63,0.75,0.75,0.9639,1.0,5.6545,7.64,0.0,0.0503,0.2875,0.0126
The envoy arrived at dawn with gifts from the northern court,0.8,2,137,77,0.562,0.562,0.8971,0.9926,5.5507,9.13,0.0,0.0418,0.5375,0.0154
The envoy arrived at dawn with gifts from the northern court,0.8,3,155,79,0.5097,0.5097,0.7987,0.9542,5.3845,12.92,0.0,0.0302,0.6,0.0158
The envoy arrived at dawn with gifts from the northern court,0.8,4,122,71,0.582,0.582,0.9008,1.0,5.5558,11.09,0.0,0.0473,0.2875,0.0142
The envoy arrived at dawn with gifts from the northern court,1.0,0,125,81,0.648,0.648,0.9274,1.0,5.902,9.62,0.0,0.0364,0.2875,0.0162
The envoy arrived at dawn with gifts from the northern court,1.0,1,132,87,0.6591,0.6591,0.9924,1.0,6.0467,14.67,0.0,0.0481,0.225,0.0174
The envoy arrived at dawn with gifts from the northern court,1.0,2,112,75,0.6696,0.6696,0.9459,1.0,5.705,11.2,0.0,0.049,0.2875,0.015
The envoy arrived at dawn with gifts from the northern court,1.0,3,129,81,0.6279,0.6279,0.9609,0.9921,5.8742,16.12,0.0,0.0343,0.2875,0.0162
The envoy arrived at dawn with gifts from the northern court,1.0,4,139,87,0.6259,0.6259,0.9348,1.0,5.8872,12.64,0.0,0.0366,0.4125,0.0174
The minister bowed and said the neighboring state was weak.,0.8,0,140,65,0.4643,0.4643,0.8201,0.9783,4.9077,12.73,0.0,0.0335,0.6,0.013
The minister bowed and said the neighboring state was weak.,0.8,1,167,78,0.4671,0.4671,0.8133,0.9636,5.5067,16.7,0.0,0.027,0.6,0.0156
The minister bowed and said the neighboring state was weak.,0.8,2,132,72,0.5455,0.5455,0.8779,0.9846,5.4731,14.67,0.0,0.0467,0.45,0.0144
The minister bowed and said the neighboring state was weak.,0.8,3,98,51,0.5204,0.5204,0.8969,0.9688,5.1096,4.67,0.0,0.0874,0.45,0.0102
The minister bowed and said the neighboring state was weak.,0.8,4,137,72,0.5255,0.5255,0.875,0.9704,5.3971,17.12,0.0,0.036,0.475,0.0144
The minister bowed and said the neighboring state was weak.,1.0,0,152,84,0.5526,0.5526,0.8742,0.9867,5.7059,13.82,0.0,0.032,0.6,0.0168
The minister bowed and said the neighboring state was weak.,1.0,1,99,61,0.6162,0.6162,0.9898,1.0,5.5216,5.21,0.0,0.1018,0.225,0.0122
The minister bowed and said the neighboring state was weak.,1.0,2,165,100,0.6061,0.6061,0.9207,0.9877,6.1407,13.75,0.0,0.0349,0.35,0.02
The minister bowed and said the neighboring state was weak.,1.0,3,135,82,0.6074,0.6074,0.9179,0.9925,5.7537,16.88,0.0,0.0322,0.4125,0.0164
The minister bowed and said the neighboring state was weak.,1.0,4,164,101,0.6159,0.6159,0.9509,1.0,6.1699,10.25,0.0,0.0332,0.2875,0.0202
"In the third year of famine, the granaries stood nearly empt",0.8,0,161,81,0.5031,0.5031,0.8562,0.9748,5.7805,12.38,0.0,0.0453,0.475,0.0162
"In the third year of famine, the granaries stood nearly empt",0.8,1,83,56,0.6747,0.6747,1.0,1.0,5.4745,7.55,0.0,0.1141,0.2625,0.0112
"In the third year of famine, the granaries stood nearly empt",0.8,2,75,58,0.7733,0.7733,0.9865,1.0,5.5467,9.38,0.0,0.0667,0.225,0.0116
"In the third year of famine, the granaries stood nearly empt",0.8,3,159,76,0.478,0.478,0.7975,0.949,5.4167,19.88,0.0,0.0275,0.5125,0.0152
