prefix,temperature,sample_idx,word_count,unique_words,lexical_diversity,distinct_1,distinct_2,distinct_3,word_entropy,avg_sentence_length,repetition_rate,punctuation_rate,degeneration_score,vocab_coverage
The city had changed since the last time she visited.,0.8,0,109,69,0.633,0.633,0.9722,1.0,5.4851,5.19,0.0,0.0593,0.3875,0.0138
The city had changed since the last time she visited.,0.8,1,154,87,0.5649,0.5649,0.9085,0.9934,5.8253,12.83,0.0,0.0362,0.45,0.0174
The city had changed since the last time she visited.,0.8,2,105,67,0.6381,0.6381,0.9423,1.0,5.5454,5.83,0.0,0.0538,0.4125,0.0134
The city had changed since the last time she visited.,0.8,3,130,76,0.5846,0.5846,0.907,0.9844,5.6384,10.83,0.0,0.0394,0.4125,0.0152
The city had changed since the last time she visited.,0.8,4,140,74,0.5286,0.5286,0.8561,0.9565,5.4157,9.33,0.0,0.0395,0.5375,0.0148
The city had changed since the last time she visited.,1.0,0,130,74,0.5692,0.5692,0.9612,0.9922,5.4924,11.82,0.0,0.0366,0.225,0.0148
The city had changed since the last time she visited.,1.0,1,147,86,0.585,0.585,0.9384,0.9931,5.8657,7.74,0.0,0.0431,0.35,0.0172
The city had changed since the last time she visited.,1.0,2,146,83,0.5685,0.5685,0.931,0.9861,5.9875,9.12,0.0,0.0338,0.2875,0.0166
The city had changed since the last time she visited.,1.0,3,160,73,0.4562,0.4562,0.9057,0.9873,5.4231,12.31,0.0,0.0225,0.3875,0.0146
The city had changed since the last time she visited.,1.0,4,147,83,0.5646,0.5646,0.9247,0.9931,5.736,9.19,0.0,0.0392,0.2875,0.0166
"After the rain stopped, the streets were quiet and still.",0.8,0,148,80,0.5405,0.5405,0.8844,1.0,5.5053,8.71,0.0,0.0453,0.4125,0.016
"After the rain stopped, the streets were quiet and still.",0.8,1,170,69,0.4059,0.4059,0.787,0.9702,5.1742,14.17,0.0,0.0324,0.6,0.0138
"After the rain stopped, the streets were quiet and still.",0.8,2,120,64,0.5333,0.5333,0.8739,1.0,5.2087,10.91,0.0,0.0414,0.35,0.0128
"After the rain stopped, the streets were quiet and still.",0.8,3,65,51,0.7846,0.7846,1.0,1.0,5.5568,1.76,0.0,0.1606,0.2625,0.0102
"After the rain stopped, the streets were quiet and still.",0.8,4,154,73,0.474,0.474,0.8366,1.0,5.2456,11.85,0.0,0.0253,0.5375,0.0146
"After the rain stopped, the streets were quiet and still.",1.0,0,131,73,0.5573,0.5573,0.8923,1.0,5.5188,14.56,0.0,0.0343,0.35,0.0146
"After the rain stopped, the streets were quiet and still.",1.0,1,121,83,0.686,0.686,0.975,1.0,6.03,7.12,0.0,0.0465,0.225,0.0166
"After the rain stopped, the streets were quiet and still.",1.0,2,142,91,0.6408,0.6408,0.9574,1.0,6.0858,10.14,0.0,0.0451,0.225,0.0182
"After the rain stopped, the streets were quiet and still.",1.0,3,148,78,0.527,0.527,0.9252,1.0,5.6513,9.25,0.0,0.0478,0.3875,0.0156
"After the rain stopped, the streets were quiet and still.",1.0,4,146,83,0.5685,0.5685,0.9172,0.9931,5.7342,11.23,0.0,0.0376,0.2875,0.0166
He opened the book to a random page and began to read.,0.8,0,167,82,0.491,0.491,0.8675,1.0,5.7403,10.44,0.0,0.0402,0.475,0.0164
He opened the book to a random page and began to read.,0.8,1,103,64,0.6214,0.6214,0.9412,1.0,5.3023,10.3,0.0,0.0402,0.4125,0.0128
He opened the book to a random page and began to read.,0.8,2,129,79,0.6124,0.6124,0.9609,1.0,5.7484,7.59,0.0,0.0493,0.225,0.0158
He opened the book to a random page and began to read.,0.8,3,112,76,0.6786,0.6786,0.955,1.0,5.7478,7.0,0.0,0.0458,0.2875,0.0152
He opened the book to a random page and began to read.,0.8,4,153,87,0.5686,0.5686,0.9276,0.9934,5.8592,17.0,0.0,0.0425,0.3875,0.0174
He opened the book to a random page and began to read.,1.0,0,174,92,0.5287,0.5287,0.9306,0.9942,5.9961,14.5,0.0,0.031,0.2875,0.0184
He opened the book to a random page and began to read.,1.0,1,169,98,0.5799,0.5799,0.9286,0.994,6.1955,13.0,0.0,0.0337,0.2875,0.0196
He opened the book to a random page and began to read.,1.0,2,174,89,0.5115,0.5115,0.9538,0.9942,5.9672,15.82,0.0,0.0443,0.325,0.0178
He opened the book to a random page and began to read.,1.0,3,176,85,0.483,0.483,0.8857,0.9943,5.8204,22.0,0.0,0.0266,0.4125,0.017
He opened the book to a random page and began to read.,1.0,4,143,79,0.5524,0.5524,0.9437,1.0,5.5752,15.89,0.0,0.0492,0.3875,0.0158
The envoy arrived at dawn with gifts from the northern court,0.8,0,133,78,0.5865,0.5865,0.8788,0.9771,5.5624,5.78,0.0,0.0512,0.4125,0.0156
The envoy arrived at dawn with gifts from the northern court,0.8,1,157,79,0.5032,0.5032,0.8462,0.9871,5.4315,13.08,0.0,0.0296,0.5125,0.0158
The envoy arrived at dawn with gifts from the northern court,0.8,2,99,66,0.6667,0.6667,0.9796,1.0,5.5125,4.5,0.0,0.0625,0.225,0.0132
